epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/dis_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/dis_loss,lr/pg0,lr/pg1,lr/pg2
38,4049.56,1.1582,0.73332,0.9404,2.48529,0.8488,0.74731,0.81257,0.55897,1.25113,0.89585,1.00499,0,0.000905557,0.000905557,0.000905557
39,4153.2,1.1558,0.72668,0.94026,2.48203,0.84387,0.74209,0.80603,0.56374,1.26413,0.91974,1.00509,0,0.00089141,0.00089141,0.00089141
40,4264.18,1.15017,0.72477,0.94376,2.46662,0.84624,0.74202,0.80584,0.56253,1.25105,0.94336,0.98834,0,0.000877263,0.000877263,0.000877263
41,4370.9,1.14549,0.72066,0.94265,2.44753,0.84209,0.75628,0.81394,0.569,1.24404,0.88855,0.9833,0,0.000863116,0.000863116,0.000863116
42,4479.77,1.141,0.71426,0.9397,2.40379,0.84762,0.73939,0.8119,0.57234,1.22696,0.92403,0.98618,0,0.000848969,0.000848969,0.000848969
43,4585.54,1.13127,0.70481,0.93737,2.36129,0.84391,0.76539,0.82331,0.57692,1.22199,0.848,0.97458,0,0.000834822,0.000834822,0.000834822
44,4709.93,1.14027,0.70879,0.93485,2.37604,0.86098,0.75165,0.81701,0.57691,1.22412,0.88515,0.98581,0,0.000820675,0.000820675,0.000820675
45,4814.26,1.13918,0.70877,0.93513,2.35402,0.84633,0.75924,0.8211,0.57752,1.21552,0.86354,0.97452,0,0.000806528,0.000806528,0.000806528
46,4912.83,1.12351,0.69999,0.93302,2.32092,0.85667,0.77226,0.83,0.5866,1.21923,0.82189,0.98009,0,0.00079238,0.00079238,0.00079238
47,5025.71,1.12444,0.69531,0.93223,2.30692,0.85718,0.74279,0.80989,0.57555,1.21231,0.93784,0.97567,0,0.000778233,0.000778233,0.000778233
48,5127.98,1.12543,0.69233,0.93317,2.29256,0.85228,0.74783,0.81577,0.57648,1.23018,0.89255,0.98789,0,0.000764086,0.000764086,0.000764086
49,5233.86,1.12293,0.69313,0.93158,2.28919,0.85408,0.76423,0.82249,0.58128,1.21349,0.86421,0.97261,0,0.000749939,0.000749939,0.000749939
50,5334.98,1.11743,0.69024,0.93073,2.28027,0.85568,0.7585,0.82301,0.58296,1.20517,0.85917,0.97452,0,0.000735792,0.000735792,0.000735792
51,5441.85,1.11717,0.69092,0.93047,2.24767,0.86115,0.75918,0.82329,0.58133,1.20944,0.85306,0.97467,0,0.000721645,0.000721645,0.000721645
52,5556.2,1.11502,0.68255,0.92792,2.22977,0.85623,0.76114,0.82326,0.58419,1.21188,0.84876,0.98156,0,0.000707498,0.000707498,0.000707498
53,5670,1.11259,0.68304,0.92813,2.248,0.85472,0.75027,0.81938,0.57987,1.20831,0.87619,0.97149,0,0.000693351,0.000693351,0.000693351
54,5775.52,1.11367,0.68238,0.92658,2.21136,0.85879,0.7726,0.82907,0.58713,1.20245,0.82919,0.96993,0,0.000679204,0.000679204,0.000679204
55,5874.98,1.1122,0.67479,0.92733,2.18987,0.87074,0.75064,0.82025,0.58434,1.21428,0.89475,0.97456,0,0.000665057,0.000665057,0.000665057
56,5974.53,1.10316,0.67338,0.92847,2.17345,0.86221,0.77,0.82932,0.59019,1.21284,0.82845,0.98019,0,0.000650909,0.000650909,0.000650909
57,6076.35,1.09996,0.67181,0.92243,2.15832,0.85423,0.75851,0.82229,0.58577,1.20361,0.87014,0.97093,0,0.000636762,0.000636762,0.000636762
58,6178.98,1.09687,0.66582,0.92655,2.1367,0.85634,0.76031,0.81932,0.5826,1.21998,0.87763,0.9792,0,0.000622615,0.000622615,0.000622615
59,6284.42,1.0932,0.66452,0.92181,2.12652,0.85865,0.76129,0.8208,0.58635,1.20706,0.86938,0.97206,0,0.000608468,0.000608468,0.000608468
60,6392.24,1.0966,0.6652,0.92388,2.1301,0.86296,0.77042,0.82957,0.59254,1.19633,0.81339,0.96867,0,0.000594321,0.000594321,0.000594321
61,6500.85,1.08727,0.65974,0.92032,2.10118,0.8604,0.7624,0.82386,0.5885,1.20118,0.84183,0.96957,0,0.000580174,0.000580174,0.000580174
62,6616.49,1.08189,0.65729,0.92228,2.0989,0.86996,0.76018,0.82604,0.58939,1.20813,0.86456,0.97357,0,0.000566027,0.000566027,0.000566027
63,6732.13,1.08366,0.65493,0.91903,2.08182,0.86225,0.76115,0.82576,0.59168,1.20433,0.84705,0.97184,0,0.00055188,0.00055188,0.00055188
64,6846.49,1.08666,0.65508,0.92039,2.07713,0.85871,0.7664,0.82767,0.59239,1.19734,0.8364,0.96973,0,0.000537733,0.000537733,0.000537733
65,6953.49,1.08019,0.64914,0.91875,2.04468,0.8583,0.76408,0.82622,0.59039,1.2024,0.84472,0.97823,0,0.000523586,0.000523586,0.000523586
66,7063.06,1.08389,0.65157,0.91995,2.057,0.87613,0.75889,0.82746,0.59189,1.20181,0.84539,0.97004,0,0.000509438,0.000509438,0.000509438
67,7179.51,1.0756,0.64625,0.91739,2.03182,0.85835,0.77066,0.83003,0.59534,1.19713,0.82362,0.97499,0,0.000495291,0.000495291,0.000495291
68,7287.51,1.0679,0.64417,0.91844,2.01852,0.86965,0.76547,0.83028,0.59351,1.19454,0.82629,0.97227,0,0.000481144,0.000481144,0.000481144
69,7391.91,1.06716,0.63875,0.91386,2.01516,0.86666,0.76685,0.83136,0.59568,1.19088,0.83202,0.96552,0,0.000466997,0.000466997,0.000466997
70,7505.81,1.06817,0.63885,0.91581,2.0055,0.86934,0.76976,0.83198,0.59662,1.18608,0.82977,0.96022,0,0.00045285,0.00045285,0.00045285
71,7618.95,1.06475,0.63503,0.91529,1.97532,0.86477,0.76805,0.83108,0.59537,1.19722,0.82561,0.9738,0,0.000438703,0.000438703,0.000438703
72,7737.84,1.06093,0.63377,0.91417,1.98067,0.86764,0.77115,0.83157,0.59691,1.19502,0.81605,0.97087,0,0.000424556,0.000424556,0.000424556
73,7859.91,1.06647,0.63508,0.91547,1.96635,0.86479,0.77331,0.83149,0.595,1.19791,0.81215,0.97109,0,0.000410409,0.000410409,0.000410409
74,7977.73,1.06485,0.63603,0.91369,1.97176,0.86966,0.76222,0.82691,0.59399,1.20244,0.86061,0.97065,0,0.000396262,0.000396262,0.000396262
75,8292.99,1.05487,0.62783,0.91267,1.95636,0.8693,0.76274,0.82678,0.59245,1.19615,0.85671,0.96702,0,0.000382115,0.000382115,0.000382115
76,8558.61,1.05483,0.62893,0.91433,1.93791,0.86816,0.77171,0.83021,0.59397,1.2052,0.82121,0.97438,0,0.000367967,0.000367967,0.000367967
77,8679.45,1.05426,0.62509,0.91075,1.93085,0.85672,0.77277,0.83016,0.59571,1.19236,0.82247,0.96798,0,0.00035382,0.00035382,0.00035382
78,8802.83,1.05389,0.62684,0.91146,1.92017,0.86329,0.77326,0.83214,0.59572,1.19797,0.81149,0.97103,0,0.000339673,0.000339673,0.000339673
79,8924.28,1.04814,0.62209,0.90986,1.91162,0.87037,0.76864,0.83141,0.59627,1.19915,0.82124,0.97234,0,0.000325526,0.000325526,0.000325526
80,9052.82,1.04668,0.62164,0.91189,1.89552,0.86978,0.77239,0.83389,0.59522,1.19634,0.81109,0.97116,0,0.000311379,0.000311379,0.000311379
81,9194.63,1.04732,0.61835,0.90746,1.88289,0.8606,0.7764,0.83171,0.59552,1.19999,0.83211,0.97098,0,0.000297232,0.000297232,0.000297232
