epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2903.66,0.96009,0.64006,1.07301,0.83298,0.54302,0.63433,0.44659,1.79454,2.41102,1.50901,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2991.34,0.95144,0.62877,1.07369,0.87165,0.51773,0.62316,0.45171,1.82903,2.77602,1.55447,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3078.74,0.94939,0.63183,1.07657,0.84518,0.5276,0.61873,0.44656,1.84185,2.50958,1.55987,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3166.27,0.93789,0.61485,1.06933,0.81298,0.52767,0.60452,0.43948,1.77783,2.81129,1.51136,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3254.34,0.92581,0.61347,1.06646,0.88188,0.5291,0.61351,0.45261,1.75014,2.84973,1.49916,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3342.43,0.92826,0.60846,1.06642,0.85746,0.50432,0.59015,0.4451,1.78862,3.01851,1.49231,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,3430.08,0.91601,0.59905,1.05497,0.90636,0.51645,0.62728,0.45755,1.74494,2.66201,1.50633,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,3518.13,0.91647,0.59478,1.05348,0.90247,0.51505,0.5979,0.44373,1.82152,3.05141,1.52503,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,3606.47,0.9088,0.59308,1.05488,0.84999,0.51141,0.59665,0.44668,1.76502,3.11637,1.48181,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,3694.27,0.90162,0.58508,1.05249,0.88145,0.51209,0.61028,0.45166,1.74909,2.95038,1.48316,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
