epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,4013.84,1.10853,0.66795,0.93621,0.87301,0.78597,0.8506,0.60105,1.1969,0.79891,0.97783,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,4125.24,1.10471,0.6616,0.93768,0.86777,0.78568,0.84723,0.59919,1.179,0.82389,0.97409,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,4235.63,1.10554,0.65613,0.93637,0.87328,0.78637,0.84987,0.59865,1.1854,0.80704,0.97185,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,4351.77,1.09215,0.65017,0.93292,0.8684,0.79389,0.85249,0.60647,1.18043,0.78268,0.97299,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,4464.45,1.08389,0.6463,0.92879,0.88255,0.79491,0.85643,0.61345,1.16659,0.77184,0.96378,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,4575.79,1.08763,0.64605,0.93116,0.87603,0.79909,0.8584,0.61047,1.1707,0.7563,0.96793,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,4691.88,1.07822,0.63843,0.926,0.87525,0.79397,0.85609,0.6101,1.17528,0.76299,0.97476,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,4805,1.07706,0.63792,0.92788,0.87478,0.79862,0.85564,0.61215,1.17079,0.7732,0.97016,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,4950.5,1.07305,0.63547,0.92722,0.87597,0.79827,0.85696,0.61352,1.17064,0.76937,0.96941,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,5075.88,1.0701,0.63067,0.92748,0.87914,0.79544,0.85691,0.61276,1.17479,0.7635,0.96963,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,5201.4,1.06661,0.6275,0.92251,0.86778,0.80134,0.855,0.61275,1.17405,0.7783,0.97359,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,5325.35,1.06011,0.62192,0.92305,0.87394,0.80178,0.85538,0.61327,1.16633,0.77219,0.96804,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,5450.83,1.05484,0.61806,0.92027,0.87758,0.79172,0.85287,0.61484,1.15796,0.77819,0.96161,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,5608.13,1.05866,0.61678,0.9201,0.87977,0.79214,0.8547,0.61539,1.16408,0.76832,0.96337,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,5719.68,1.04587,0.61043,0.91856,0.88055,0.80261,0.86053,0.61923,1.15896,0.74775,0.96027,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,5843.19,1.04487,0.60631,0.91518,0.8866,0.79679,0.85888,0.61962,1.16141,0.75257,0.96411,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,5959.1,1.03459,0.59913,0.9144,0.87521,0.79964,0.85721,0.62151,1.15511,0.76176,0.96075,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,6086.23,1.03197,0.59626,0.91187,0.87741,0.80255,0.85632,0.62203,1.15302,0.76632,0.95742,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,6207.87,1.02602,0.59391,0.91202,0.87138,0.80281,0.85383,0.61883,1.15274,0.77312,0.95754,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,6337.39,1.02669,0.59587,0.91024,0.87767,0.80062,0.8536,0.62201,1.14813,0.78242,0.95578,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,6457.03,1.01915,0.58925,0.90876,0.87626,0.80629,0.857,0.62481,1.14419,0.77316,0.95635,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,6568.48,1.01317,0.58454,0.90772,0.88216,0.80077,0.85726,0.62381,1.14954,0.77324,0.96005,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,6675.97,1.01093,0.57954,0.90409,0.88164,0.80547,0.85909,0.62588,1.14864,0.76642,0.95784,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,6788.67,1.0046,0.57608,0.90556,0.88173,0.80834,0.85905,0.62656,1.14523,0.7541,0.95754,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,6911.97,1.00567,0.57981,0.90501,0.88187,0.80519,0.8593,0.62717,1.14601,0.7524,0.95891,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,7038.79,0.99837,0.56991,0.90328,0.88113,0.80654,0.85929,0.62633,1.14466,0.75035,0.9584,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,7154.63,0.99641,0.56769,0.90194,0.88308,0.80727,0.8599,0.62652,1.14642,0.74893,0.9595,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,7272.83,0.99231,0.56511,0.90001,0.88207,0.80828,0.85926,0.62547,1.14838,0.75132,0.95933,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,7389.03,0.98881,0.55831,0.89781,0.88401,0.80627,0.85884,0.62277,1.15145,0.75516,0.96234,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,7543.07,0.97986,0.558,0.89685,0.88103,0.80674,0.85803,0.62271,1.15288,0.75864,0.96286,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,7682.39,0.97975,0.55666,0.89579,0.87881,0.81034,0.85851,0.62328,1.15165,0.75715,0.96314,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,7795.61,0.96989,0.5487,0.89486,0.8817,0.80894,0.85953,0.62263,1.15357,0.75623,0.96456,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,7910.58,0.96711,0.54645,0.89334,0.88268,0.80953,0.85976,0.62277,1.15492,0.7535,0.96459,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,8022.92,0.96295,0.53977,0.89412,0.88119,0.8094,0.86017,0.62296,1.15569,0.74773,0.9649,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,8135.17,0.95845,0.53905,0.89286,0.88056,0.81088,0.86008,0.62538,1.15558,0.74663,0.965,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,8266.84,0.95755,0.53687,0.89051,0.87847,0.8123,0.86035,0.62558,1.15362,0.74532,0.96465,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,8387.76,0.9436,0.53028,0.88945,0.88184,0.81228,0.85983,0.62497,1.15473,0.74932,0.96519,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
