epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,6368.83,1.26858,0.81854,0.99304,0.85797,0.75111,0.81865,0.55915,1.3226,0.95716,1.00759,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,6553.74,1.26566,0.81417,0.98727,0.85996,0.75319,0.82387,0.56267,1.30375,0.9308,0.99862,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,6734.64,1.25638,0.80977,0.9878,0.86085,0.7604,0.82582,0.56932,1.2965,0.92309,0.99376,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,6919.89,1.25494,0.80407,0.99023,0.86096,0.75489,0.82506,0.56997,1.29476,0.92454,0.9905,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,7111.44,1.25375,0.80434,0.98406,0.85554,0.76761,0.83033,0.57467,1.28261,0.90155,0.98331,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,7299.49,1.25178,0.79978,0.97907,0.86536,0.76055,0.82757,0.57554,1.28104,0.90865,0.98649,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,7493.9,1.23973,0.78962,0.97893,0.8571,0.76055,0.82713,0.57478,1.28285,0.91541,0.98604,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,7685.02,1.23714,0.78751,0.97759,0.85652,0.76612,0.82828,0.57405,1.28101,0.91078,0.98504,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,7880.94,1.23614,0.78701,0.97753,0.85952,0.75835,0.82915,0.57393,1.28586,0.90905,0.98821,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,8170.2,1.23824,0.79051,0.98087,0.85004,0.76652,0.83004,0.57491,1.27884,0.90207,0.98557,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,8479.88,1.22929,0.77903,0.97355,0.86105,0.76346,0.83024,0.57881,1.27985,0.90156,0.98555,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,8789.29,1.21768,0.77116,0.97244,0.85835,0.76823,0.83073,0.57806,1.28154,0.8993,0.98657,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,9014.87,1.22023,0.77646,0.974,0.86304,0.76249,0.83181,0.57903,1.27718,0.89726,0.98488,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,9207.91,1.2157,0.76788,0.97096,0.86076,0.76407,0.83134,0.58084,1.27642,0.89183,0.98406,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,9397.55,1.21121,0.7636,0.9692,0.86376,0.76457,0.83237,0.58246,1.27525,0.88909,0.98303,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
