run,imgsz,kind,class,reason,width_bin,count
c4d_11n_640_noneg,640,FN,person,nearmiss,4~8px,34
c4d_11n_640_noneg,640,FN,person,nearmiss,8~16px,28
c4d_11n_640_noneg,640,FN,person,nearmiss,<4px,1
c4d_11n_640_noneg,640,FN,person,nearmiss,>16px,14
c4d_11n_640_noneg,640,FN,bollard,blind,4~8px,240
c4d_11n_640_noneg,640,FN,bollard,blind,8~16px,146
c4d_11n_640_noneg,640,FN,bollard,blind,<4px,582
c4d_11n_640_noneg,640,FN,bollard,blind,>16px,130
c4d_11n_640_noneg,640,FN,bollard,lowconf,4~8px,405
c4d_11n_640_noneg,640,FN,bollard,lowconf,8~16px,193
c4d_11n_640_noneg,640,FN,bollard,lowconf,<4px,281
c4d_11n_640_noneg,640,FN,bollard,lowconf,>16px,118
c4d_11n_640_noneg,640,FN,bollard,merged,4~8px,27
c4d_11n_640_noneg,640,FN,bollard,merged,8~16px,32
c4d_11n_640_noneg,640,FN,bollard,merged,<4px,13
c4d_11n_640_noneg,640,FN,bollard,merged,>16px,18
c4d_11n_640_noneg,640,FN,bollard,nearmiss,4~8px,48
c4d_11n_640_noneg,640,FN,bollard,nearmiss,8~16px,17
c4d_11n_640_noneg,640,FN,bollard,nearmiss,<4px,100
c4d_11n_640_noneg,640,FN,bollard,nearmiss,>16px,10
c4d_11n_640_noneg,640,FP,person,confusion,,12
c4d_11n_640_noneg,640,FP,person,dup,,161
c4d_11n_640_noneg,640,FP,person,ghost,,499
c4d_11n_640_noneg,640,FP,person,nearmiss,,148
c4d_11n_640_noneg,640,FP,stairs,ghost,,1
c4d_11n_640_noneg,640,FP,bollard,confusion,,6
c4d_11n_640_noneg,640,FP,bollard,dup,,273
c4d_11n_640_noneg,640,FP,bollard,ghost,,784
c4d_11n_640_noneg,640,FP,bollard,nearmiss,,298
c4d_11n_640_noneg,640,sweep_tp@0.25,person,,,3390
c4d_11n_640_noneg,640,sweep_fp@0.25,person,,,820
c4d_11n_640_noneg,640,sweep_tp@0.25,bollard,,,4628
c4d_11n_640_noneg,640,sweep_fp@0.25,bollard,,,1361
c4d_11n_640_noneg,640,sweep_tp@0.1,person,,,3790
c4d_11n_640_noneg,640,sweep_fp@0.1,person,,,2872
c4d_11n_640_noneg,640,sweep_tp@0.1,bollard,,,5177
c4d_11n_640_noneg,640,sweep_fp@0.1,bollard,,,3846
c4d_11n_640_noneg,640,sweep_tp@0.05,person,,,3982
c4d_11n_640_noneg,640,sweep_fp@0.05,person,,,5756
c4d_11n_640_noneg,640,sweep_tp@0.05,bollard,,,5392
c4d_11n_640_noneg,640,sweep_fp@0.05,bollard,,,6713
c4d_11n_640_noneg,640,sweep_tp@0.01,person,,,4251
c4d_11n_640_noneg,640,sweep_fp@0.01,person,,,21151
c4d_11n_640_noneg,640,sweep_tp@0.01,bollard,,,5702
c4d_11n_640_noneg,640,sweep_fp@0.01,bollard,,,19573
c4d_11n_960,960,GT,person,,4~8px,801
c4d_11n_960,960,matched,person,,4~8px,332
c4d_11n_960,960,GT,person,,8~16px,1907
c4d_11n_960,960,matched,person,,8~16px,1498
c4d_11n_960,960,GT,person,,<4px,14
c4d_11n_960,960,matched,person,,<4px,1
c4d_11n_960,960,GT,person,,>16px,2014
c4d_11n_960,960,matched,person,,>16px,1817
c4d_11n_960,960,GT,bollard,,4~8px,2392
c4d_11n_960,960,matched,bollard,,4~8px,1860
c4d_11n_960,960,GT,bollard,,8~16px,1605
c4d_11n_960,960,matched,bollard,,8~16px,1299
c4d_11n_960,960,GT,bollard,,<4px,1522
c4d_11n_960,960,matched,bollard,,<4px,710
c4d_11n_960,960,GT,bollard,,>16px,1469
c4d_11n_960,960,matched,bollard,,>16px,1217
c4d_11n_960,960,FN,person,blind,4~8px,116
c4d_11n_960,960,FN,person,blind,8~16px,70
c4d_11n_960,960,FN,person,blind,<4px,6
c4d_11n_960,960,FN,person,blind,>16px,39
c4d_11n_960,960,FN,person,lowconf,4~8px,310
c4d_11n_960,960,FN,person,lowconf,8~16px,243
c4d_11n_960,960,FN,person,lowconf,<4px,5
c4d_11n_960,960,FN,person,lowconf,>16px,78
c4d_11n_960,960,FN,person,merged,4~8px,25
c4d_11n_960,960,FN,person,merged,8~16px,78
c4d_11n_960,960,FN,person,merged,<4px,2
c4d_11n_960,960,FN,person,merged,>16px,60
c4d_11n_960,960,FN,person,nearmiss,4~8px,18
c4d_11n_960,960,FN,person,nearmiss,8~16px,18
c4d_11n_960,960,FN,person,nearmiss,>16px,20
c4d_11n_960,960,FN,bollard,blind,4~8px,141
c4d_11n_960,960,FN,bollard,blind,8~16px,100
c4d_11n_960,960,FN,bollard,blind,<4px,330
c4d_11n_960,960,FN,bollard,blind,>16px,118
c4d_11n_960,960,FN,bollard,lowconf,4~8px,342
c4d_11n_960,960,FN,bollard,lowconf,8~16px,161
c4d_11n_960,960,FN,bollard,lowconf,<4px,421
c4d_11n_960,960,FN,bollard,lowconf,>16px,107
c4d_11n_960,960,FN,bollard,merged,4~8px,23
c4d_11n_960,960,FN,bollard,merged,8~16px,28
c4d_11n_960,960,FN,bollard,merged,<4px,13
c4d_11n_960,960,FN,bollard,merged,>16px,12
c4d_11n_960,960,FN,bollard,nearmiss,4~8px,26
c4d_11n_960,960,FN,bollard,nearmiss,8~16px,17
c4d_11n_960,960,FN,bollard,nearmiss,<4px,48
c4d_11n_960,960,FN,bollard,nearmiss,>16px,15
c4d_11n_960,960,FP,person,confusion,,7
c4d_11n_960,960,FP,person,dup,,139
c4d_11n_960,960,FP,person,ghost,,427
